Date,Price,Open,High,Low,Vol.,Change %
02/28/2025,174.63,174.36,176.3,173.48,5.80M,0.46%
02/27/2025,173.83,174.52,177.15,173.59,4.70M,0.46%
02/26/2025,173.04,179.49,179.49,171.83,7.11M,-2.93%
02/25/2025,178.27,180.45,181.88,176.34,5.61M,-0.91%
02/24/2025,179.91,177.48,183.04,176.55,8.39M,1.56%
02/21/2025,177.15,181.28,182.2,174.71,8.98M,-2.06%
02/20/2025,180.88,185.58,185.8,180.11,7.86M,-2.83%
02/19/2025,186.15,185.31,187.23,181.83,7.26M,0.64%
02/18/2025,184.97,185.68,188.66,184.22,6.93M,0.30%
02/14/2025,184.42,186.75,186.82,183.57,5.04M,-0.55%
02/13/2025,185.44,187,188.24,185.09,6.85M,-0.43%
02/12/2025,186.25,178.34,186.27,178.25,7.69M,3.22%
02/11/2025,180.44,179.78,182.14,177.6,4.37M,-0.06%
02/10/2025,180.55,183.12,183.55,179.9,3.99M,-0.52%
02/07/2025,181.49,185.26,186.11,180.93,5.39M,-1.79%
02/06/2025,184.8,182,185.85,182,6.92M,1.63%
02/05/2025,181.84,176,181.86,175.51,7.43M,3.18%
02/04/2025,176.23,176.9,177.45,174.25,4.50M,0.20%
02/03/2025,175.87,174.11,178.2,173.13,6.50M,-0.37%
01/31/2025,176.52,180.51,181.78,175.74,6.12M,-1.68%
01/30/2025,179.53,174.59,179.94,173.72,7.00M,3.38%
01/29/2025,173.66,179.13,182.55,170.65,12.26M,-2.32%
01/28/2025,177.78,181.31,188.48,174.02,22.77M,1.50%
01/27/2025,175.16,175.55,178.18,174.4,7.15M,-0.51%
01/24/2025,176.06,176,180.43,174.37,9.30M,-1.37%
01/23/2025,178.5,174.01,178.67,173.75,7.10M,2.12%
01/22/2025,174.8,175.29,176.23,173.88,5.13M,-0.43%
01/21/2025,175.56,172.38,177.09,171.93,8.76M,2.61%
01/17/2025,171.09,169.79,171.77,169.45,9.56M,1.28%
01/16/2025,168.93,166.79,170.64,166.57,5.81M,1.64%
01/15/2025,166.2,169.01,169.99,165.97,6.45M,-0.49%
01/14/2025,167.02,171.37,171.88,164.62,7.97M,-2.08%
01/13/2025,170.57,171.18,172.5,167.91,6.05M,-0.83%
01/10/2025,172,171.49,173.54,167.41,7.56M,0.14%
01/08/2025,171.76,171.15,173.78,169.61,5.11M,-0.43%
01/07/2025,172.51,171.16,175.02,170.8,7.05M,1.01%
01/06/2025,170.78,173.5,173.94,170.19,11.13M,0.52%
01/03/2025,169.9,171.4,173.98,169.8,10.51M,-1.15%
01/02/2025,171.87,178.31,179.19,169.82,12.45M,-2.90%
12/31/2024,177,177.54,179.35,175.82,9.75M,0.25%
12/30/2024,176.55,173.72,178.17,170.15,18.08M,-2.31%
12/27/2024,180.72,180.01,181.43,179.4,6.81M,0.19%
12/26/2024,180.38,178.98,182.57,178.33,5.92M,0.58%
12/24/2024,179.34,177.69,180.95,177.5,4.32M,0.93%
12/23/2024,177.69,178.12,179.65,174.29,8.49M,0.19%
12/20/2024,177.35,176.86,182,175.31,23.23M,0.18%
12/19/2024,177.04,175,179.58,173.72,14.78M,2.56%
12/18/2024,172.62,173.28,177.94,171,15.44M,-0.24%
12/17/2024,173.03,173.04,175.79,171.71,13.56M,-0.08%
12/16/2024,173.17,168.09,175.2,166.1,13.05M,2.07%
12/13/2024,169.65,168,170.43,166.33,9.75M,1.13%
12/12/2024,167.75,168.23,168.82,165.65,10.62M,1.08%
12/11/2024,165.96,165.52,169.3,164.38,13.12M,1.13%
12/10/2024,164.1,160,166.68,159.42,17.15M,4.50%
12/09/2024,157.04,154.27,161.95,154.27,13.54M,2.02%
12/06/2024,153.93,157.03,158.95,153.37,8.18M,-1.75%
12/05/2024,156.67,158.5,160.02,156.05,7.12M,-1.02%
12/04/2024,158.28,155.88,160.2,154.21,9.27M,2.12%
12/03/2024,155,156,156.65,154.42,6.13M,-0.98%
12/02/2024,156.54,155.91,160.35,155.7,10.10M,0.71%
11/29/2024,155.44,153,157.5,152.85,7.10M,1.99%
11/27/2024,152.4,151.11,152.91,150.25,5.21M,1.09%
11/26/2024,150.76,152.5,153.14,149.8,8.23M,-1.53%
11/25/2024,153.1,150.7,153.28,150.26,11.48M,2.55%
11/22/2024,149.29,143.61,150.34,143.49,13.35M,4.10%
11/21/2024,143.41,146.39,146.42,141.34,7.85M,-1.83%
11/20/2024,146.08,146.04,147.3,145.02,9.23M,0.33%
11/19/2024,145.6,143,145.99,142.69,8.25M,1.20%
11/18/2024,143.87,140.26,144.69,138.2,12.26M,2.63%
11/15/2024,140.19,138.14,140.32,137.03,12.12M,1.48%
11/14/2024,138.14,140.8,141.55,137.22,15.65M,-1.31%
11/13/2024,139.97,145.58,145.58,139.1,21.25M,-3.58%
11/12/2024,145.17,148.4,148.5,143.85,16.75M,-2.54%
11/11/2024,148.96,152,152.5,148.07,12.80M,-1.79%
11/08/2024,151.68,151.12,152.6,149.43,13.00M,0.46%
11/07/2024,150.98,148.8,152.8,148.03,14.71M,2.60%
11/06/2024,147.16,152.3,153.2,144.13,28.07M,-2.54%
11/05/2024,151,157.47,157.66,150.65,23.13M,-2.62%
11/04/2024,155.07,154.62,156.72,152.46,10.29M,0.31%
11/01/2024,154.59,152.78,156,151.23,18.89M,3.54%
10/31/2024,149.31,154.31,154.48,147.88,29.39M,-3.23%
10/30/2024,154.29,152.51,156.91,152.51,50.74M,0.86%
10/29/2024,152.98,147.86,155.99,147.58,66.39M,1.52%
10/28/2024,150.69,153.5,155.2,150.61,20.99M,-2.79%
10/25/2024,155.01,156.2,157.48,154.52,8.15M,-0.12%
10/24/2024,155.2,152.61,155.89,151.98,9.77M,-1.18%
10/23/2024,157.06,160,161.47,153.53,15.93M,-1.76%
10/22/2024,159.88,160.5,160.66,158.37,7.38M,0.04%
10/21/2024,159.82,160.25,163.44,158.36,13.28M,3.11%
10/18/2024,155,155.84,156.37,153.9,6.03M,-0.20%
10/17/2024,155.31,155,157.14,154.25,6.29M,0.26%
10/16/2024,154.9,151.91,154.99,151.34,8.36M,1.67%
10/15/2024,152.35,150.5,153.95,148.55,11.24M,2.26%
10/14/2024,148.99,148,150.09,146.02,9.74M,-1.34%
10/11/2024,151.02,146.3,151.12,146.3,10.69M,3.00%
10/10/2024,146.62,149.07,149.11,146.26,11.28M,-1.84%
10/09/2024,149.37,152.05,152.19,148.8,12.49M,-3.41%
10/08/2024,154.65,155.99,156.7,154.14,5.34M,-0.81%
10/07/2024,155.91,155,158.76,154.68,6.27M,0.59%
10/04/2024,155,152.26,155,150.85,6.68M,2.98%
10/03/2024,150.52,152.12,152.74,150.51,5.70M,-1.55%
10/02/2024,152.89,153.76,154.85,152.84,4.36M,-0.86%
10/01/2024,154.22,151.46,156.4,149.49,12.59M,1.43%
09/30/2024,152.04,154.79,155.3,151.24,10.93M,-2.74%
