Date,Price,Open,High,Low,Vol.,Change %
01/31/2025,,,,,,
01/30/2025,,,,,,
01/29/2025,,,,,,
01/28/2025,,,,,,
01/27/2025,,,,,,
01/24/2025,,,,,,
01/23/2025,,,,,,
01/22/2025,,,,,,
01/21/2025,,,,,,
01/20/2025,,,,,,
01/17/2025,,,,,,
01/16/2025,,,,,,
01/15/2025,,,,,,
01/14/2025,,,,,,
01/13/2025,,,,,,
01/10/2025,,,,,,
01/09/2025,,,,,,
01/08/2025,,,,,,
01/07/2025,,,,,,
01/06/2025,,,,,,
01/03/2025,,,,,,
01/02/2025,,,,,,
01/01/2025,,,,,,
12/31/2024,1.2511,1.2548,1.2571,1.2504,,-0.32%
12/30/2024,1.2551,1.2571,1.2608,1.2505,,-0.22%
12/27/2024,1.2579,1.2523,1.2594,1.2503,,0.43%
12/26/2024,1.2525,1.2552,1.2553,1.25,,-0.22%
12/25/2024,1.2553,1.2543,1.256,1.2526,,0.09%
12/24/2024,1.2542,1.2536,1.2577,1.2517,,0.07%
12/23/2024,1.2533,1.2568,1.259,1.2509,,-0.29%
12/20/2024,1.2569,1.2502,1.2615,1.2473,,0.56%
12/19/2024,1.2499,1.2577,1.2668,1.2494,,-0.59%
12/18/2024,1.2573,1.271,1.2724,1.2562,,-1.08%
12/17/2024,1.271,1.2685,1.273,1.2665,,0.23%
12/16/2024,1.2681,1.2614,1.27,1.2612,,0.50%
12/13/2024,1.2618,1.2677,1.2684,1.2607,,-0.41%
12/12/2024,1.267,1.2751,1.2789,1.2665,,-0.63%
12/11/2024,1.275,1.2772,1.2783,1.2712,,-0.14%
12/10/2024,1.2768,1.2751,1.2779,1.2723,,0.15%
12/09/2024,1.2749,1.2735,1.28,1.2716,,0.05%
12/06/2024,1.2742,1.2759,1.2813,1.272,,-0.13%
12/05/2024,1.2758,1.2703,1.2772,1.2692,,0.44%
12/04/2024,1.2702,1.2673,1.2723,1.2629,,0.25%
12/03/2024,1.267,1.2656,1.2701,1.2635,,0.12%
12/02/2024,1.2655,1.2746,1.2746,1.2616,,-0.64%
11/29/2024,1.2737,1.2685,1.2751,1.2671,,0.39%
11/28/2024,1.2687,1.268,1.2693,1.2644,,0.07%
11/27/2024,1.2678,1.2572,1.2696,1.2565,,0.88%
11/26/2024,1.2568,1.2571,1.2618,1.2506,,0.01%
11/25/2024,1.2567,1.2541,1.2615,1.2539,,0.29%
11/22/2024,1.2531,1.2592,1.2596,1.2486,,-0.44%
11/21/2024,1.2586,1.2651,1.2661,1.2575,,-0.51%
11/20/2024,1.265,1.2681,1.2716,1.2629,,-0.25%
11/19/2024,1.2682,1.2677,1.2691,1.2612,,0.05%
11/18/2024,1.2676,1.2615,1.2688,1.2608,,0.47%
11/15/2024,1.2617,1.2666,1.2699,1.2596,,-0.38%
11/14/2024,1.2665,1.2707,1.2722,1.2629,,-0.30%
11/13/2024,1.2703,1.2747,1.277,1.2685,,-0.35%
11/12/2024,1.2747,1.2871,1.2875,1.2718,,-0.95%
11/11/2024,1.2869,1.2917,1.2928,1.2854,,-0.40%
11/08/2024,1.2921,1.2989,1.2991,1.2882,,-0.50%
11/07/2024,1.2986,1.2882,1.3011,1.2874,,0.84%
11/06/2024,1.2878,1.3043,1.3049,1.2833,,-1.25%
11/05/2024,1.3041,1.2958,1.3044,1.2947,,0.65%
11/04/2024,1.2957,1.2972,1.3001,1.2933,,0.24%
11/01/2024,1.2926,1.2902,1.2982,1.2883,,0.22%
10/31/2024,1.2898,1.2964,1.3001,1.2843,,-0.49%
10/30/2024,1.2962,1.3016,1.3045,1.2936,,-0.41%
10/29/2024,1.3015,1.2973,1.3018,1.2957,,0.34%
10/28/2024,1.2971,1.2964,1.3003,1.2938,,0.09%
10/25/2024,1.2959,1.2977,1.3,1.2955,,-0.10%
10/24/2024,1.2972,1.2921,1.2989,1.2908,,0.40%
10/23/2024,1.292,1.2983,1.2996,1.2906,,-0.49%
10/22/2024,1.2983,1.2984,1.3016,1.2944,,-0.01%
10/21/2024,1.2984,1.3043,1.306,1.2976,,-0.49%
10/18/2024,1.3048,1.3011,1.3073,1.3004,,0.29%
10/17/2024,1.301,1.299,1.3024,1.2973,,0.15%
10/16/2024,1.299,1.3074,1.3079,1.2975,,-0.63%
10/15/2024,1.3072,1.306,1.3104,1.3034,,0.10%
10/14/2024,1.3059,1.3064,1.3073,1.3029,,-0.05%
10/11/2024,1.3066,1.3059,1.3085,1.304,,0.06%
10/10/2024,1.3058,1.3072,1.3096,1.3021,,-0.09%
10/09/2024,1.307,1.3104,1.3108,1.3054,,-0.26%
10/08/2024,1.3104,1.3083,1.3115,1.3063,,0.16%
10/07/2024,1.3083,1.3105,1.3136,1.3058,,-0.25%
10/04/2024,1.3116,1.3125,1.3176,1.3068,,-0.06%
10/03/2024,1.3124,1.3268,1.3277,1.3091,,-1.08%
10/02/2024,1.3267,1.3285,1.3307,1.3245,,-0.14%
10/01/2024,1.3285,1.3375,1.3391,1.3236,,-0.64%
09/30/2024,1.337,1.3369,1.3425,1.3349,,-0.02%
09/27/2024,1.3373,1.3415,1.3429,1.3359,,-0.31%
09/26/2024,1.3415,1.3324,1.3436,1.3311,,0.69%
09/25/2024,1.3323,1.3412,1.3431,1.3311,,-0.66%
09/24/2024,1.3412,1.3347,1.3418,1.3331,,0.49%
09/23/2024,1.3346,1.332,1.3361,1.3247,,0.19%
09/20/2024,1.3321,1.3284,1.3342,1.3267,,0.28%
09/19/2024,1.3284,1.3213,1.3316,1.3152,,0.54%
09/18/2024,1.3212,1.3161,1.3299,1.3155,,0.40%
09/17/2024,1.316,1.3216,1.3231,1.3145,,-0.42%
09/16/2024,1.3216,1.3124,1.322,1.312,,0.72%
09/13/2024,1.3122,1.3125,1.3159,1.3113,,-0.01%
09/12/2024,1.3123,1.3046,1.3129,1.3031,,0.61%
09/11/2024,1.3043,1.308,1.3113,1.3001,,-0.28%
09/10/2024,1.3079,1.3074,1.3109,1.3048,,0.05%
09/09/2024,1.3072,1.3118,1.3145,1.3067,,-0.39%
09/06/2024,1.3123,1.3178,1.324,1.3109,,-0.39%
09/05/2024,1.3175,1.3147,1.3187,1.3136,,0.25%
09/04/2024,1.3142,1.3113,1.3176,1.3099,,0.24%
09/03/2024,1.3111,1.3151,1.3151,1.3086,,-0.29%
09/02/2024,1.3149,1.3122,1.3157,1.3119,,0.18%
08/30/2024,1.3126,1.3166,1.3201,1.3108,,-0.32%
08/29/2024,1.3168,1.3191,1.3229,1.3144,,-0.17%
08/28/2024,1.319,1.3259,1.3264,1.3167,,-0.49%
08/27/2024,1.3255,1.319,1.3268,1.3179,,0.49%
08/26/2024,1.319,1.3214,1.3226,1.3179,,-0.14%
08/23/2024,1.3209,1.309,1.3232,1.3085,,0.92%
08/22/2024,1.3088,1.3093,1.3131,1.3075,,-0.03%
08/21/2024,1.3092,1.3033,1.3121,1.301,,0.48%
08/20/2024,1.3029,1.2995,1.3054,1.2973,,0.32%
08/19/2024,1.2988,1.2936,1.2998,1.2932,,0.34%
08/16/2024,1.2944,1.2854,1.2947,1.2851,,0.72%
08/15/2024,1.2851,1.2827,1.2873,1.2798,,0.20%
08/14/2024,1.2825,1.2862,1.287,1.2819,,-0.25%
08/13/2024,1.2857,1.2766,1.2874,1.276,,0.73%
08/12/2024,1.2764,1.2757,1.2795,1.2746,,0.04%
08/09/2024,1.2759,1.2749,1.2775,1.2725,,0.09%
08/08/2024,1.2747,1.2691,1.2754,1.2664,,0.44%
08/07/2024,1.2691,1.2691,1.2737,1.268,,0.02%
08/06/2024,1.2689,1.2778,1.2805,1.2672,,-0.66%
08/05/2024,1.2773,1.2808,1.2818,1.2708,,-0.20%
08/02/2024,1.2798,1.2749,1.2841,1.2706,,0.46%
08/01/2024,1.2739,1.2857,1.2865,1.2726,,-0.91%
07/31/2024,1.2856,1.2836,1.2866,1.282,,0.17%
07/30/2024,1.2834,1.2862,1.2868,1.2819,,-0.19%
07/29/2024,1.2859,1.2874,1.289,1.2805,,-0.10%
07/26/2024,1.2872,1.2852,1.288,1.2849,,0.16%
07/25/2024,1.2851,1.2907,1.2917,1.2849,,-0.43%
07/24/2024,1.2906,1.2907,1.2939,1.2876,,0.01%
07/23/2024,1.2905,1.2934,1.2937,1.2887,,-0.21%
07/22/2024,1.2932,1.2912,1.2944,1.2904,,0.10%
07/19/2024,1.2919,1.2944,1.2955,1.29,,-0.17%
07/18/2024,1.2941,1.301,1.3015,1.2939,,-0.52%
07/17/2024,1.3008,1.2973,1.3046,1.2965,,0.33%
07/16/2024,1.2965,1.2967,1.2981,1.2937,,-0.01%
07/15/2024,1.2966,1.2994,1.2996,1.2959,,-0.20%
07/12/2024,1.2992,1.2911,1.2995,1.2901,,0.64%
07/11/2024,1.2909,1.2849,1.295,1.2846,,0.50%
07/10/2024,1.2845,1.2787,1.2851,1.2782,,0.49%
07/09/2024,1.2783,1.281,1.2827,1.2777,,-0.16%
07/08/2024,1.2804,1.2789,1.2847,1.2788,,-0.03%
07/05/2024,1.2808,1.276,1.2819,1.2753,,0.40%
07/04/2024,1.2757,1.2742,1.2769,1.274,,0.13%
07/03/2024,1.274,1.2677,1.2779,1.2673,,0.44%
07/02/2024,1.2684,1.2647,1.2689,1.2614,,0.29%
07/01/2024,1.2647,1.2644,1.271,1.2632,,0.04%
06/28/2024,1.2642,1.2639,1.2665,1.2619,,0.03%
06/27/2024,1.2638,1.2625,1.2672,1.2612,,0.14%
06/26/2024,1.262,1.2686,1.2695,1.2614,,-0.50%
06/25/2024,1.2683,1.2681,1.2704,1.2669,,0.03%
06/24/2024,1.2679,1.2646,1.27,1.2631,,0.27%
06/21/2024,1.2645,1.2658,1.2677,1.2622,,-0.08%
06/20/2024,1.2655,1.2719,1.2726,1.2653,,-0.49%
06/19/2024,1.2717,1.2708,1.2741,1.2697,,0.08%
06/18/2024,1.2707,1.2702,1.2722,1.2668,,0.03%
06/17/2024,1.2703,1.2686,1.2711,1.2658,,0.17%
06/14/2024,1.2682,1.2761,1.2765,1.2656,,-0.60%
06/13/2024,1.2759,1.2799,1.2809,1.2737,,-0.29%
06/12/2024,1.2796,1.2742,1.2862,1.2731,,0.44%
06/11/2024,1.274,1.2731,1.2753,1.2705,,0.08%
06/10/2024,1.273,1.2723,1.2739,1.2687,,0.07%
06/07/2024,1.2721,1.279,1.2813,1.2715,,-0.52%
06/06/2024,1.2788,1.2787,1.2811,1.2761,,0.02%
06/05/2024,1.2785,1.2765,1.2796,1.2754,,0.17%
06/04/2024,1.2763,1.2807,1.2819,1.2742,,-0.32%
06/03/2024,1.2804,1.2732,1.2809,1.2694,,0.51%
05/31/2024,1.2739,1.2732,1.2767,1.2699,,0.07%
05/30/2024,1.273,1.2701,1.2748,1.268,,0.18%
05/29/2024,1.2707,1.2761,1.2778,1.2698,,-0.42%
05/28/2024,1.276,1.277,1.2802,1.2753,,-0.05%
05/27/2024,1.2767,1.273,1.2779,1.273,,0.21%
05/24/2024,1.274,1.2692,1.2752,1.2678,,0.34%
05/23/2024,1.2697,1.2717,1.2748,1.2684,,-0.14%
05/22/2024,1.2715,1.2709,1.2763,1.2699,,0.06%
05/21/2024,1.2707,1.2706,1.2728,1.2686,,0.02%
05/20/2024,1.2704,1.2701,1.2727,1.2686,,0.04%
05/17/2024,1.2699,1.2672,1.2713,1.2644,,0.26%
05/16/2024,1.2666,1.2681,1.2702,1.2642,,-0.15%
05/15/2024,1.2685,1.2592,1.2688,1.2582,,0.77%
05/14/2024,1.2588,1.2559,1.2594,1.2508,,0.24%
05/13/2024,1.2558,1.2523,1.257,1.2516,,0.30%
05/10/2024,1.2521,1.2524,1.2542,1.2501,,-0.01%
05/09/2024,1.2522,1.2491,1.2528,1.2445,,0.21%
05/08/2024,1.2496,1.2509,1.2522,1.2466,,-0.06%
05/07/2024,1.2504,1.2561,1.2572,1.25,,-0.45%
05/06/2024,1.2561,1.2546,1.2596,1.2537,,0.14%
05/03/2024,1.2544,1.2535,1.2635,1.2521,,0.10%
05/02/2024,1.2531,1.2521,1.2546,1.2471,,0.05%
05/01/2024,1.2525,1.2494,1.2551,1.2465,,0.28%
04/30/2024,1.249,1.2561,1.2566,1.2489,,-0.57%
04/29/2024,1.2561,1.2491,1.2571,1.2479,,0.58%
04/26/2024,1.2489,1.252,1.2542,1.2448,,-0.19%
04/25/2024,1.2513,1.2464,1.2527,1.2449,,0.42%
