Date,Price,Open,High,Low,Vol.,Change %
02/28/2025,308.33,307.61,308.52,303.88,4.97M,-0.52%
02/27/2025,309.95,305.19,311.78,304.22,3.35M,1.87%
02/26/2025,304.27,311.7,314.55,303.68,4.14M,-2.08%
02/25/2025,310.72,309.18,311.71,307.99,3.89M,1.02%
02/24/2025,307.57,305,310.44,304.12,3.40M,0.91%
02/21/2025,304.81,303.92,305.96,301.59,3.04M,0.58%
02/20/2025,303.05,300.83,303.13,298.15,3.02M,0.37%
02/19/2025,301.94,303.32,303.79,299.51,2.99M,-0.95%
02/18/2025,304.83,307.35,307.35,303.54,3.37M,-1.21%
02/14/2025,308.55,310.2,311,307.78,2.67M,-0.47%
02/13/2025,310.02,307.5,311.53,305.63,3.10M,0.79%
02/12/2025,307.6,309.58,310.09,305.77,3.11M,-0.84%
02/11/2025,310.21,307.37,311.59,306.17,4.18M,0.58%
02/10/2025,308.42,302.27,310.28,301.51,8.05M,4.80%
02/07/2025,294.3,294.36,296.85,293.82,2.86M,-0.02%
02/06/2025,294.36,291.59,297.15,290.32,3.59M,1.91%
02/05/2025,288.83,290,290.27,286.34,2.36M,-0.32%
02/04/2025,289.77,289.76,290.64,288.37,2.98M,-0.10%
02/03/2025,290.05,287.02,290.9,284.19,3.05M,0.47%
01/31/2025,288.7,289.83,291.25,287.35,2.56M,-0.56%
01/30/2025,290.32,290.91,292.08,289.36,2.13M,0.07%
01/29/2025,290.11,291.38,293.14,290,2.36M,-0.36%
01/28/2025,291.15,292.4,294.49,290,3.18M,-0.66%
01/27/2025,293.09,286.61,293.43,285.81,4.34M,2.67%
01/24/2025,285.46,284.51,286.85,283.28,2.52M,0.36%
01/23/2025,284.43,280.75,285,280.65,2.28M,1.09%
01/22/2025,281.35,283.3,283.53,280.4,3.66M,-0.45%
01/21/2025,282.61,280.76,282.9,278.73,3.86M,0.59%
01/17/2025,280.95,280.98,284.08,280,3.31M,0.43%
01/16/2025,279.74,280.24,280.95,276.53,3.40M,-0.91%
01/15/2025,282.3,284.33,284.65,280.61,2.87M,0.26%
01/14/2025,281.58,285.02,285.35,279.38,2.24M,-0.72%
01/13/2025,283.63,282.94,284.5,280.35,3.39M,0.47%
01/10/2025,282.31,287.5,287.77,281.78,3.95M,-1.60%
01/08/2025,286.9,288.97,289.14,286.55,2.72M,-0.84%
01/07/2025,289.34,293.78,294.93,288.28,3.42M,-0.97%
01/06/2025,292.18,293.28,295.6,291.74,2.84M,-0.88%
01/03/2025,294.78,292.83,294.96,290.7,2.24M,0.78%
01/02/2025,292.51,290.95,295.76,290.25,3.12M,0.90%
12/31/2024,289.89,290.08,291.24,288.58,1.92M,0.10%
12/30/2024,289.6,291.47,291.47,289,1.94M,-1.37%
12/27/2024,293.62,293.34,296.48,292.74,1.62M,-0.40%
12/26/2024,294.8,293,295.43,292.6,1.43M,0.28%
12/24/2024,293.99,291.28,294.27,290.79,1.46M,0.93%
12/23/2024,291.29,292.26,293.1,289.73,2.49M,-0.47%
12/20/2024,292.68,289.52,296.1,289.3,7.68M,0.84%
12/19/2024,290.23,290.88,292.86,288.85,3.44M,-0.22%
12/18/2024,290.88,295.02,298.98,290.67,3.80M,-1.76%
12/17/2024,296.08,297.62,300,294.82,3.30M,-0.55%
12/16/2024,297.71,297.18,302.12,297.17,3.18M,0.37%
12/13/2024,296.6,296.29,299.2,295.43,2.55M,-0.01%
12/12/2024,296.63,296.2,298.55,295.09,2.04M,0.18%
12/11/2024,296.1,301.34,301.9,295.97,3.04M,-1.53%
12/10/2024,300.71,300.13,302.82,295.84,3.52M,-0.22%
12/09/2024,301.37,297.58,302.62,297.09,2.39M,0.80%
12/06/2024,298.98,300.56,303.8,298.61,4.16M,-0.16%
12/05/2024,299.47,295.54,299.74,294.93,2.59M,1.48%
12/04/2024,295.09,292.28,296.04,291.82,3.74M,0.20%
12/03/2024,294.5,292.32,294.85,290.29,3.03M,0.70%
12/02/2024,292.44,293.5,294.23,290.94,3.15M,-1.21%
11/29/2024,296.01,294.16,297.05,294.02,1.66M,0.32%
11/27/2024,295.08,297,299.5,294.98,2.24M,-0.42%
11/26/2024,296.33,297,297.28,294.83,2.25M,0.05%
11/25/2024,296.19,291.77,296.61,291.77,5.02M,2.04%
11/22/2024,290.28,288.47,290.6,288.14,2.88M,0.63%
11/21/2024,288.47,285,288.6,283.46,4.48M,-0.84%
11/20/2024,290.91,290.62,291.32,288.26,2.53M,0.06%
11/19/2024,290.73,290,292.07,287.6,2.35M,-0.13%
11/18/2024,291.1,293.01,295.44,290.79,2.87M,-0.52%
11/15/2024,292.63,297.72,299.49,289.72,4.04M,-1.99%
11/14/2024,298.56,298,300.11,296.59,1.93M,0.41%
11/13/2024,297.35,298.9,299.13,295.22,2.33M,-0.44%
11/12/2024,298.65,300.14,301.4,297.52,2.45M,-0.96%
11/11/2024,301.53,300.49,303.81,300.02,2.87M,0.86%
11/08/2024,298.97,295.6,301.83,295.25,3.28M,1.46%
11/07/2024,294.66,294.84,296.54,293.81,3.36M,0.22%
11/06/2024,294,300.28,300.33,292.72,4.65M,-1.12%
11/05/2024,297.32,293.75,297.38,292.56,3.03M,1.53%
11/04/2024,292.85,294.74,294.96,291.8,2.58M,-0.80%
11/01/2024,295.21,294.51,296.88,293.28,4.13M,1.06%
10/31/2024,292.11,292.25,294.38,291.17,4.28M,0.20%
10/30/2024,291.52,294.5,295.37,289.84,4.92M,-1.18%
10/29/2024,295,297.6,302.7,295,9.05M,-0.60%
10/28/2024,296.79,299.2,299.92,296.54,6.66M,1.43%
10/25/2024,292.61,301,301.6,292.2,8.86M,-2.97%
10/24/2024,301.58,299.12,302.39,298.28,5.52M,1.01%
10/23/2024,298.57,292.77,301.6,290.83,18.79M,-5.12%
10/22/2024,314.69,314.09,315.74,313.3,5.89M,-0.06%
10/21/2024,314.89,317.13,317.9,314.41,2.40M,-0.53%
10/18/2024,316.56,315.57,317.18,314.23,2.53M,0.59%
10/17/2024,314.7,313.98,315.05,312.48,3.10M,0.57%
10/16/2024,312.92,313.32,313.73,310.11,1.82M,-0.13%
10/15/2024,313.34,312,315.36,311.01,3.07M,1.13%
10/14/2024,309.84,305.15,310.42,304.5,2.38M,1.57%
10/11/2024,305.04,304.42,305.5,302.97,1.78M,0.33%
10/10/2024,304.04,304.03,305.75,302.93,1.74M,0.07%
10/09/2024,303.83,302.94,305.01,301.96,1.85M,0.64%
10/08/2024,301.9,302.64,303.35,300.36,2.04M,0.35%
10/07/2024,300.85,303.76,305.12,300,2.09M,-0.96%
10/04/2024,303.76,303.05,305.89,301.38,2.43M,0.10%
10/03/2024,303.45,303.5,304.02,301.26,1.80M,-0.10%
10/02/2024,303.76,300.58,304.08,299.58,2.35M,0.26%
10/01/2024,302.98,304.51,305.23,302.25,3.04M,-0.50%
09/30/2024,304.51,303.75,305.03,302.1,2.29M,0.27%
09/27/2024,303.69,303.52,306.96,303.52,3.40M,0.01%
09/26/2024,303.65,301.15,304.29,300.73,1.97M,1.06%
09/25/2024,300.47,300.33,301.8,298.4,1.99M,0.07%
09/24/2024,300.27,299.06,301.45,297.7,2.41M,0.40%
09/23/2024,299.06,299,300.22,296.89,2.31M,0.75%
09/20/2024,296.83,292.94,298.05,292.83,5.82M,1.01%
09/19/2024,293.85,294.25,295.08,290.9,2.27M,0.62%
09/18/2024,292.03,293.88,295.1,290.37,1.79M,-0.59%
09/17/2024,293.75,297,297.39,292.17,3.00M,-0.99%
09/16/2024,296.69,297.42,300.11,295.04,2.92M,0.05%
09/13/2024,296.53,294.49,296.74,292.62,2.21M,1.43%
09/12/2024,292.35,290.17,292.69,288.26,2.27M,0.73%
09/11/2024,290.23,290.83,291.43,285.83,2.75M,-0.36%
09/10/2024,291.27,292.81,296.23,291.04,2.50M,-0.01%
09/09/2024,291.29,290.03,291.74,287.8,3.21M,0.61%
09/06/2024,289.51,287.82,292.19,287.57,3.86M,0.53%
09/05/2024,287.97,289,289.55,286.24,2.41M,-0.02%
09/04/2024,288.03,286.55,288.97,285.99,2.56M,0.88%
09/03/2024,285.52,286.36,288.21,283.71,2.90M,-1.09%
08/30/2024,288.66,287.56,288.88,286.29,2.53M,0.28%
08/29/2024,287.86,287.78,289.11,284.78,1.80M,0.28%
08/28/2024,287.05,289.95,290.96,285.26,2.60M,-0.89%
08/27/2024,289.64,289.08,290.3,288.06,2.90M,0.33%
08/26/2024,288.68,289.25,292.21,287.87,2.02M,-0.29%
08/23/2024,289.52,290.38,290.78,287.13,2.15M,0.11%
08/22/2024,289.21,289.55,290.5,287.55,1.75M,-0.17%
08/21/2024,289.71,287.15,289.97,286.27,2.69M,1.43%
08/20/2024,285.63,286.5,290.27,285.21,3.70M,-0.67%
08/19/2024,287.55,282.33,288.32,281.72,5.27M,3.25%
08/16/2024,278.49,274.75,279.5,274.7,3.29M,1.32%
08/15/2024,274.87,272,275.76,271.85,2.45M,1.37%
08/14/2024,271.15,269.86,271.51,268.5,2.24M,0.31%
08/13/2024,270.31,270.31,272,267.54,2.60M,0.32%
08/12/2024,269.46,267.46,269.53,265.33,3.01M,0.58%
08/09/2024,267.91,271.7,271.7,266.96,2.66M,-1.21%
08/08/2024,271.19,268.93,273.65,268.08,3.23M,0.68%
08/07/2024,269.37,269.56,273.14,268.58,3.54M,-0.26%
08/06/2024,270.06,269.86,273.2,268.08,3.37M,0.60%
08/05/2024,268.45,274.04,277.87,267.68,6.79M,-2.98%
08/02/2024,276.69,269.4,276.81,268.8,9.59M,2.95%
08/01/2024,268.75,266.82,268.77,262.4,4.94M,1.26%
07/31/2024,265.4,265.42,267.67,263.2,4.65M,-0.39%
07/30/2024,266.44,261,267.37,260.31,4.94M,1.92%
07/29/2024,261.42,253.55,263.93,250.23,9.38M,3.74%
07/26/2024,252,252.9,254.04,250.75,4.00M,0.21%
07/25/2024,251.46,254.19,256.09,251.1,3.32M,-0.75%
07/24/2024,253.37,246.32,254.33,246.12,5.98M,-0.27%
07/23/2024,254.05,259.68,260.14,253.51,2.65M,-2.12%
07/22/2024,259.54,258.3,259.79,256.4,2.76M,0.88%
07/19/2024,257.28,260.39,260.44,255.03,3.47M,-0.86%
07/18/2024,259.52,258.03,262.33,257.6,3.42M,-0.57%
07/17/2024,261,258.97,262.05,257.86,3.71M,1.45%
07/16/2024,257.27,251,257.31,250.1,4.17M,2.28%
07/15/2024,251.53,253.64,255.73,251.19,3.39M,-0.93%
